YEAR,PAPER,DATE OF REPORT,DATE OF INCIDENT,LOCATION,HEADLINE,LINK
2017,Guardian,20-Mar-17,,,Tension as Fulani herdsman murders farmer in Oyo over cattle,https://guardian.ng/news/tension-as-fulani-herdsman-murders-farmer-in-oyo-over-cattle/
,,28-Sep-17,,,Why Nigeria did not declare Fulani herdsmen as terrorists – Lai Mohammed,https://guardian.ng/news/why-nigeria-did-not-declare-fulani-herdsmen-as-terrorists-lai-mohammed/
,,3-Nov-17,,,Fulani herdsmen? Here are the grim statistics,https://guardian.ng/opinion/fulani-herdsmen-here-are-the-grim-statistics/
2018,Guardian,3-Jan-18,1-Jan-18,Logo and Guma Local Government Areas (LGA) of the state,Herdsmen kill 50 in Benue communities,https://guardian.ng/news/herdsmen-kill-50-in-benue-communities/
,,6-Jan-18,,,Why we attacked Benue communities – Herdsmen,https://guardian.ng/news/why-we-attacked-benue-communities-herdsmen/
,,13-Jan-18,,,Ikpeazu rejects cattle colony plan for herdsmen in Abia State,https://guardian.ng/news/ikpeazu-rejects-cattle-colony-plan-for-herdsmen-in-abia-state/
,,18-Jan-18,,,Buhari and the herdsmen’s endgame,https://guardian.ng/opinion/buhari-and-the-herdsmens-endgame/
,,19-Jan-18,,,Herdsmen: Way out of the crisis,https://guardian.ng/opinion/herdsmen-way-out-of-the-crisis/
,,19-Jan-18,,,Herdsmen attack and a reformed police,https://guardian.ng/opinion/herdsmen-attack-and-a-reformed-police/
,,21-Jan-18,,,"Buhari partisan over herdsmen killings, say South East leaders",https://guardian.ng/news/buhari-partisan-over-herdsmen-killings-say-south-east-leaders/
,,22-Jan-18,,,Who are Fulani herdsmen?,https://guardian.ng/opinion/who-are-fulani-herdsmen/
,,22-Jan-18,,,"I believe herdsmen hate me, says Falae",https://guardian.ng/news/i-believe-herdsmen-hate-me-says-falae/
,,31-Jan-18,,,"Herdsmen attacks a ploy for ethnic cleansing, Afenifere alleges",https://guardian.ng/news/herdsmen-attacks-a-ploy-for-ethnic-cleansing-afenifere-alleges/
,,4-Feb-18,,,Akinola: See a link between Fulani herdsmen and Boko Haram,https://guardian.ng/interview/akinola-see-a-link-between-fulani-herdsmen-and-boko-haram/
,,5-Feb-18,,,The Fulani herdsmen militia siege,https://guardian.ng/opinion/the-fulani-herdsmen-militia-siege/
,,6-Feb-18,,,Benue government loses confidence in FG over killer herdsmen,https://guardian.ng/news/benue-government-loses-confidence-in-fg-over-killer-herdsmen/
,,7-Feb-18,,,"Buhari orders arrest, trial of herdsmen with illegal arms",https://guardian.ng/news/buhari-orders-arrest-trial-of-herdsmen-with-illegal-arms/
,,9-Feb-18,,,Mixed reactions trail Buhari’s directive on armed herdsmen,https://guardian.ng/politics/mixed-reactions-trail-buharis-directive-on-armed-herdsmen/
,,12-Feb-18,,,Restructuring and the herdsmen question,https://guardian.ng/opinion/restructuring-and-the-herdsmen-question/
,,13-Feb-18,13-Feb-18,Akure South Local Government Area of Ondo State,Workers flee as herdsmen storm Akure council secretariat,https://guardian.ng/news/workers-flee-as-herdsmen-storm-akure-council-secretariat/
,,25-Feb-18,,,Herdsmen killings: British government responds to London protest,https://guardian.ng/news/herdsmen-killings-british-government-responds-to-london-protest/
,,25-Feb-18,,,"Oba Of Benin convenes security meeting on herdsmen, illegal migration",https://guardian.ng/features/oba-of-benin-convenes-security-meeting-on-herdsmen-illegal-migration/
,,9-Mar-18,,,Herdsmen clashes,https://guardian.ng/opinion/herdsmen-clashes/
,,12-Mar-18,,,"‘Stop deliberation on hate speech bill until herdsmen attacks, killings end’",https://guardian.ng/news/stop-deliberation-on-hate-speech-bill-until-herdsmen-attacks-killings-end/
