YEAR,PAPER,DATE OF REPORT,DATE OF INCIDENT,LOCATION,HEADLINE,LINK
,,24-Nov-19,23-Nov-19,Shuwa-Kalaa village in the Hong Local Government Area of Adamawa State,Many feared dead as herdsmen invade Adamawa village,https://punchng.com/many-feared-dead-as-herdsmen-invade-adamawa-village/
,,19-Nov-19,18-Nov-19,,S’East youths give herdsmen ultimatum to vacate FUTO,https://punchng.com/seast-youths-give-herdsmen-ultimatum-to-vacate-futo/
,,12-Nov-19,,,‘Herdsmen harassing our women’,https://punchng.com/herdsmen-harassing-our-women/
,,11-Nov-19,,,Herdsmen from Plateau attacking my domain —Kaduna monarch,https://punchng.com/herdsmen-from-plateau-attacking-my-domain-kaduna-monarch/
,,10-Nov-19,,,Governors reply Miyetti Allah: You can’t force us to donate land to herdsmen,https://punchng.com/governors-reply-miyetti-allah-you-cant-force-us-to-donate-land-to-herdsmen/
,,6-Nov-19,,,Our farmlands have been under siege from herdsmen for 10 years –Ekiti regent,https://punchng.com/our-farmlands-have-been-under-siege-from-herdsmen-for-10-years-ekiti-regent/
2019,PUNCH,"November 1, 2019","October 27, 2019",Eke in the Udi Local Government Area of Enugu State,Enugu girl shot by suspected herdsmen dies,https://punchng.com/enugu-girl-shot-by-suspected-herdsmen-dies/
,,"November 1, 2019","October, 14, 2019.", Issele Azagba in Aniocha North Local Government Area of Selta State,Delta school reopens after herdsmen attack,https://punchng.com/delta-school-reopens-after-herdsmen-attack/
,,"October 29, 2019",,Eke in the Udi Local Government Area of Enugu State,"Herdsmen attack foreign minister’s town, injure two",https://punchng.com/herdsmen-attack-foreign-ministers-town-injure-two/
,,"October 24, 2019","October 22, 2019","Igangan, Ibarapa North Local Government Area, Oyo State",Herdsmen consider legal option against Oyo grazing law,https://punchng.com/herdsmen-consider-legal-option-against-oyo-grazing-law/
,,"October 22, 2019",,"Gboogyo village, Guma Local Government Area, Benue State",Extend border closure to herdsmen –Ortom,https://punchng.com/extend-border-closure-to-herdsmen-ortom/
,,"October 22, 2019",,Ohaji/Egbema Local Government Area of Imo State,"Herdsmen invade Imo community, destroy crops",https://punchng.com/herdsmen-invade-imo-community-destroy-crops/
,,"October 21, 2019",,"Gboogyo village, Guma Local Government Area, Benue State",Ortom begs FG to check illegal entry of herdsmen into Nigeria,https://punchng.com/ortom-begs-fg-to-check-illegal-entry-of-herdsmen-into-nigeria/
,,"October 20, 2019","October 15, 2019","Gboogyo village, Guma Local Government Area, Benue State",I tried to pick my hand cut off by herdsmen — Benue female farmer,https://punchng.com/i-tried-to-pick-my-hand-cut-off-by-herdsmen-benue-female-farmer/
,," October 16, 2019","October 15, 2019","Gboogyo village, Guma Local Government Area, Benue State",ICYMI: Herdsmen cut off woman’s hand in Benue,https://punchng.com/herdsmen-cut-off-womans-hand-in-benue/
,,"October 15, 2019","October 14, 2019","Azagba Mixed Secondary School, Isele-Azagba, Delta  State",Suspected herdsmen kidnap four Delta teachers,https://punchng.com/suspected-herdsmen-kidnap-four-delta-teachers/
,,"October 9, 2019","October 8, 2019",Lafia Local Government Area of Nasarawa State,Tension hits Nasarawa town as herdsmen share kolanuts,https://punchng.com/tension-hits-nasarawa-town-as-herdsmen-share-kolanuts/
,,"October 7, 2019","October 4, 2019","Nkek village, Ward 3, Southern Ukanafun, Ukanafun Local Government Area, Akwa Ibom","Suspected herdsmen invade Akwa Ibom community, kill one",https://punchng.com/suspected-herdsmen-invade-aibom-community-kill-one/
,,"October 4, 2019",,Ifedore Local Government Area of Ondo State,"Cows’ death: Ondo monarchs, herdsmen sign peace deal",https://punchng.com/cows-death-ondo-monarchs-herdsmen-sign-peace-deal/
,,"September 27, 2019","September 26, 2019",Bassa Council Area of Plateau State.,Plateau buries victims of herdsmen attack,https://punchng.com/plateau-buries-victims-of-herdsmen-attack/
,,"September 26, 2019","September 26, 2019",Bassa Council Area of Plateau State.,"Plateau buries community leader, two others killed by suspected herdsmen ",https://punchng.com/plateau-buries-community-leader-two-others-killed-by-suspected-herdsmen/
,,"September 24, 2019",,Bassa Council Area of Plateau State.,"Herdsmen kill Plateau community leader, two others",https://punchng.com/herdsmen-kill-plateau-community-leader-two-others/
,,"September 23, 2019",,Bassa Council Area of Plateau State.,"Suspected herdsmen kill community leader, two others in Plateau",https://punchng.com/suspected-herdsmen-kill-community-leader-two-others-in-plateau/
,,"September 23, 2019",,Ajeoku Village in Obokun Local Government Area of Osun State ,"Suspected herdsmen attack bus, kidnap passengers in Osun",https://punchng.com/just-in-suspected-herdsmen-attack-bus-kidnap-passengers-in-osun/
,,"September 20, 2019",,,"Yoruba elders, security challenges and Fulani herdsmen (2)",https://punchng.com/yoruba-elders-security-challenges-and-fulani-herdsmen-2/
,,"September 16, 2019",,,"Fulani herdsmen from Chad, Niger to benefit from FG’s livestock plan",https://punchng.com/fulani-herdsmen-from-chad-niger-to-benefit-from-fgs-livestock-plan/
,,"September 13, 2019",,,"Yoruba elders, security challenges, and Fulani herdsmen",https://punchng.com/yoruba-elders-security-challenges-and-fulani-herdsmen/
,,"September 11, 2019",,"Federal University of Technology, Owerri,",FUTO cries out over herdsmen invasion,https://punchng.com/futo-cries-out-over-herdsmen-invasion/
,,"September 7, 2019",,Oyo State,"Alaafin seeks law to stop herdsmen, farmers’ crisis",https://punchng.com/alaafin-seeks-law-to-stop-herdsmen-farmers-crisis/
,,"September 5, 2019",,"Awka, the Anambra State capital.",Anambra begins enumeration of herdsmen,https://punchng.com/anambra-begins-enumeration-of-herdsmen/
,,"September 5, 2019",,"Abakaliki, Ebonyi State",‘South-East move against herdsmen led to Umahi’s house raid’,https://punchng.com/seast-move-against-herdsmen-led-to-umahis-house-raid/
,,"September 5, 2019",,Maradun Local Government area of zamfara,"Zamfara offers free medical services to Fulani herdsmen, livestock",https://punchng.com/zamfara-offers-free-medical-services-to-fulani-herdsmen-livestock/
,,"September 5, 2019",,"Amansea, Awka South Local Government Area of Anambra State",Anambra begins headcount of herdsmen,https://punchng.com/anambra-begins-headcount-of-herdsmen/
,,"September 2, 2019",,,"Herdsmen: Enugu NSCDC inaugurates special squad, Agro Rangers",https://punchng.com/herdsmen-enugu-nscdc-inaugurates-special-squad-agro-rangers/
,,"August 31, 2019",,Oyo State,"Peasant herdsmen can’t afford ranching in next 25 years –Bayari, Fulani leader",https://punchng.com/peasant-herdsmen-cant-afford-ranching-in-next-25-years-bayari-fulani-leader/
,,"August 30, 2019",,Zamfara State,"Banditry: Masari holds meeting with herdsmen, security chiefs",https://punchng.com/banditry-masari-holds-meeting-with-herdsmen-security-chiefs/
,,"August 26, 2019",,Enugu State,Herdsmen activities in Igbo land barbaric – Nnamani,https://punchng.com/herdsmen-activities-in-igbo-land-barbaric-nnamani/
,,"August 23, 2019",,"Nchatancha Nike, in the Enugu East Local Government Area of the state.",Herdsmen kill pregnant woman in Enugu,https://punchng.com/herdsmen-kill-pregnant-woman-in-enugu/
,,"August 23, 2019","August 22, 2020","Nchatancha Nike, in the Enugu East Local Government Area of the state.","Suspected herdsmen rape, kill Enugu widow",https://punchng.com/suspected-herdsmen-rape-kill-enugu-widow/
,,"August 22, 2019","August 22, 2021","Nchatancha Nike, in the Enugu East Local Government Area of the state.",Suspected herdsmen kill pregnant woman in Enugu,https://punchng.com/breaking-suspected-herdsmen-kill-pregnant-woman-in-enugu/
,,"August 19, 2019",,"Kango Village in Dansadau area of Maru Local Government Area, Gusau.","Herdsmen kill bandit, take his AK47 to Govt House",https://punchng.com/herdsmen-kill-bandit-take-his-ak47-to-govt-house/
,,"August 19, 2019",,"Onu Ika Nigeria at Abavo, Ika South Local Government Area of Delta State",Okowa decries frequent herdsmen attack on farmers,https://punchng.com/okowa-decries-frequent-herdsmen-attack-on-farmers/
,,"August 17, 2019",,,"Ogun govt meets with farmers, herdsmen",https://punchng.com/ogun-govt-meets-with-farmers-herdsmen/
,,"August 17, 2020",,,"Fulani herdsmen are also kidnapped, robbed –Miyetti Allah South-East chairman",https://punchng.com/fulani-herdsmen-are-also-kidnapped-robbed-miyetti-allah-south-east-chairman/
,,"August 14, 2019","August 13, 2019",Lokoja,There’s no herdsmen attack at motor park —Kogi govt,https://punchng.com/theres-no-herdsmen-attack-at-motor-park-kogi-govt/
,,"August 14, 2019",,Owerri North Local Government Area of Imo State,Fulani herdsmen stab each other over stolen cows,https://punchng.com/fulani-herdsmen-stab-each-other-over-stolen-cows/
,,"August 13, 2019","August 12, 2019",Owerri North Local Government Area of Imo State,Fulani herdsmen stab selves over missing cows in Imo,https://punchng.com/fulani-herdsmen-stab-selves-over-missing-cows-in-imo/
,,"August 12, 2019","August 11, 2019","Awka, Anambra State","Herdsmen are not criminals, says Miyetti Allah",https://punchng.com/herdsmen-are-not-criminals-says-miyetti-allah/
,,"August 12, 2019",,"Hoare’s Memorial Methodist Cathedral, Yaba, Lagos.",Methodist church women seek end to herdsmen attacks,https://punchng.com/methodist-church-women-seek-end-to-herdsmen-attacks/
,,"August 10, 2019",,Ikot Obio Nso community in Mkpat Enin Local Government Area of Akwa Ibom State.,"Suspected herdsmen kill one, injure other in Akwa Ibom",https://punchng.com/suspected-herdsmen-kill-one-injure-other-in-aibom/
,,"August 9, 2019",,Ikot Obio Nso Community in Mkpat Enin Local Government Area of Akwa Ibom State.,"Herdsmen kill one, injure another in Akwa Ibom",https://punchng.com/herdsmen-kill-one-injure-another-in-akwa-ibom/
,,"August 9, 2019",,"Maya, a town between Iseyin and Abeokuta, Ogun State",I wasn’t pastor attacked by herdsmen — CAN President,https://punchng.com/i-wasnt-pastor-attacked-by-herdsmen-can-president/
,,"August 6, 2019","July 28, 2019",,"Herdsmen menace/banditry: Lagos, Benue, Ebonyi, five others to acquire drones",https://punchng.com/herdsmen-menace-banditry-lagos-benue-ebonyi-five-others-to-acquire-drones/
,,"August 5, 2019","August 1, 2019","Ihe-Agbudu road, Awgu Local Government Area of Enugu",Flush out killer herdsmen from Enugu —Catholic Church,https://punchng.com/flush-out-killer-herdsmen-from-enugu-catholic-church/
,,"August 4, 2019",,"Obasanjo Presidential Library, Oke-Mosan, Abeokuta, Ogun State","Herdsmen carry arms for self-defence, Fulani group tells Obasanjo",https://punchng.com/herdsmen-carry-arms-for-self-defence-fulani-group-tells-obasanjo/
,,"August 4, 2019","August 1, 2019", Ihe-Agbudu Road in Agwu Local Government Area of Enugu State,Igbo youths to drive herdsmen from South-East forests,https://punchng.com/igbo-youths-to-drive-herdsmen-from-south-east-forests/
,,"August 4, 2019",,"Redeemed Camp, Ogun State.","RCCG deaconess, others: Fulani herdsmen held us for three days",https://punchng.com/rccg-deaconess-others-fulani-herdsmen-held-us-for-three-days/
,,"August 3, 2019",,"J3 forest on Ogbere Road, in Ijebu-East Local Government Area of Ogun State",How I escaped from Fulani herdsmen —RCCG pastor Chidimma,https://punchng.com/breaking-how-i-escaped-from-fulani-herdsmen-rccg-pastor-ibelegbo-chidimma/
,,"August 3, 2019","August 1, 2019",Ihe-Agbudu Road in Agwu LGA of Enugu State,Priest’s murder: Ohanaeze youths plan killer herdsmen’s eviction from forests,https://punchng.com/priests-murder-ohanaeze-youths-plan-to-evict-killer-herdsmen-from-forests/
,,"August 2, 2019",,Katsina State,North-West governors ban herdsmen from carrying arms,https://punchng.com/nwest-governors-ban-herdsmen-from-carrying-arms/
,,"August 1, 2019",,,Herdsmen now forbidden from carrying arms publicly —Govs,https://punchng.com/herdsmen-now-forbidden-from-carrying-arms-publicly-govs/
,,"August 1, 2019",,"Okada junction on the Benin-Ore Expressway, Edo State",Abducted post-UTME candidate recounts ordeal in herdsmen’s den,https://punchng.com/abducted-post-utme-candidate-recounts-ordeal-in-herdsmens-den/
,,"July 28, 2019",,"Oke Ogun, Oyo State",South-West traditional rulers accused of selling land to foreign herdsmen,https://punchng.com/swest-traditional-rulers-accused-of-selling-land-to-foreign-herdsmen/
,,"July 28, 2019",,,"FG should monitor borders, chase foreign herdsmen away –PDP vice chair, Olafeso",https://punchng.com/fg-should-monitor-borders-chase-foreign-herdsmen-away-pdp-vice-chair-olafeso/
,,"July 27, 2019",,,"Dislodge killer herdsmen from South-West, YCE tells governors",https://punchng.com/dislodge-killer-herdsmen-from-swest-yce-tells-governors/
,,"July 26, 2019","July 25, 2019",Kona community in Jalingo and Ardo-Kola local government areas of Taraba State,Herdsmen have made our villages inaccessible –Taraba residents,https://punchng.com/herdsmen-have-made-our-villages-inaccessible-taraba-residents/
,,"July 25, 2019",,,Why Fulani herdsmen cannot leave southern Nigeria,https://punchng.com/why-fulani-herdsmen-cannot-leave-southern-nigeria/
,,"July 25, 2019","July 23, 2019",Ajebo end of the Lagos-Ibadan Expressway,"Police arrived Lagos-Ibadan road after suspected herdsmen abducted CMD’s son, others –Driver",https://punchng.com/police-arrived-lagos-ibadan-road-after-suspected-herdsmen-abducted-cmds-son-others-driver/
,,"July 25, 2019",,,Superior aggression theory and the Fulani herdsmen,https://punchng.com/superior-aggression-theory-and-the-fulani-herdsmen/
,,"July 24, 2019",,Jalingo Local Government Area of Taraba State.,Taraba monarch alleges occupation of 17 Kona villages by suspected herdsmen,https://punchng.com/taraba-monarch-alleges-occupation-of-17-kona-villages-by-suspected-herdsmen/
,,"July 24, 2019",,"Ikare-Akoko, Ondo State","Police go after Ondo herdsmen vigilantes, OPC talks tough",https://punchng.com/police-go-after-ondo-herdsmen-vigilantesopc-talks-tough/
,,"July 23, 2019",,"Ikare-Akoko, Ondo State","Herdsmen raise vigilantes in Ondo, govt, Afenifere kick",https://punchng.com/herdsmen-raise-vigilantes-in-ondo-govt-afenifere-kick/
,,"July 22, 2019",,"Ikare-Akoko, Ondo State",Ondo orders police to fish out herdsmen parading as vigilante,https://punchng.com/ondo-orders-police-to-fish-out-herdsmen-parading-as-vigilante/
,,"July 22, 2019",,Odeda Local Government Area of Ogun State,"Herdsmen attacks: Ogun community pupils, teachers desert schools",https://punchng.com/herdsmen-attacks-ogun-community-pupils-teachers-desert-schools/
,," July 21, 2019",,Numeh- Nenwe road in the Nkanu East Local Government Area of Enugu State.,Catholic Church confirms attack on priest by herdsmen,https://punchng.com/catholic-church-confirms-attack-on-priest-by-herdsmen/
,,"July 20, 2019",,,"Ignore NEF’s North return, South-West govs tell herdsmen",https://punchng.com/ignore-nefs-north-return-swest-govs-tell-herdsmen/
,," July 20, 2019",,,Miyetti Allah to herdsmen: Defend yourselves against ethnic militia groups,https://punchng.com/miyetti-allah-to-herdsmen-defend-yourselves-against-ethnic-militia-groups/
,,"July 18, 2019",,Oduma Community in Aninri Local Government Area of Enugu state,"Video of herdsmen expulsion in Enugu is untrue, says Police",https://punchng.com/video-of-herdsmen-expulsion-in-enugu-is-untrue-says-police/
,,"July 17, 2019",,,"Return to North now, northern elders, youths order Fulani herdsmen",https://punchng.com/return-to-north-now-northern-elders-youths-order-fulani-herdsmen/
,,"July 16, 2019",," Adao village, Alabata, Odeda Local Government Area of Ogun State",Herdsmen arrested for killing Ogun farmer,https://punchng.com/herdsmen-arrested-for-killing-ogun-farmer/
,,"July 16, 2019",," Miango, Bassa Local Government Area of Plateau State","Herdsmen behead father, son in fresh Plateau attack",https://punchng.com/herdsmen-behead-father-son-in-fresh-plateau-attack/
,,"July 15, 2019","July 14, 2019",Odeda Local Government Area of Ogun State,Three herdsmen arrested for allegedly killing farmer in Ogun,https://punchng.com/three-herdsmen-arrested-for-allegedly-killing-farmer-in-ogun/
,,"July 15, 2019",,Odeda Local Government Area of Ogun State,Herdsmen stab another farmer to death in Ogun,https://punchng.com/herdsmen-stab-another-farmer-to-death-in-ogun/
,,"July 14, 2019",,"Akure, Ondo",Tinubu rubbishes reports claiming herdsmen killed Fasoranti’s daughter,https://punchng.com/tinubu-rubbishes-reports-claiming-herdsmen-killed-fasorantis-daughter/
,,"July 14, 2019",,Oke-Ogun area of Oyo State.,South-West under foreign herdsmen’s invasion – Ex-DMI boss,https://punchng.com/south-west-under-foreign-herdsmens-invasion-ex-dmi-boss/
,,"July 14, 2019",,,Government’s silence on herdsmen attrocities worsening insecurity — Prof. Falola,https://punchng.com/governments-silence-on-herdsmen-attrocities-worsening-insecurity-prof-falola/
,,"July 14, 2019",,"Odigbo Local Government Area, Ondo state",Herdsmen convert Ondo govt forest reserve into militia camp,https://punchng.com/herdsmen-convert-ondo-govt-forest-reserve-into-militia-camp/
,," July 13, 2019",,,"Miyetti Allah condemns killing of Fasoranti’s daughter, says herdsmen not responsible ",
,," July 13, 2019",,"Wuse, Abuja","Children of herdsmen, bandits need education – Ribadu",https://punchng.com/children-of-herdsmen-bandits-need-education-ribadu/
,,"July 13, 2019",,"Ore-Shagamu Expressway at Kajola Village in Odigbo Local Government Area, Ondo state","Atiku, Akeredolu, Afenifere kick as suspected herdsmen kill Fasoranti’s daughter",https://punchng.com/atiku-akeredolu-afenifere-kick-as-suspected-herdsmen-kill-fasorantis-daughter/
,,"July 12, 2019",,"Ore Junction from Akure, Ondo State","Suspected herdsmen kill daughter of Afenifere chairman, Fasoranti",https://punchng.com/breaking-suspected-herdsmen-kill-daughter-of-afenifere-chairman-fasoranti/
,,"July 9, 2019",,"Great Saints Orphanage in Issele-Uku, in the Aniocha North Local Government Area of Delta State",Suspected herdsmen attack Delta orphanage,https://punchng.com/suspected-herdsmen-attack-delta-orphanage/
,,"July 7, 2019",,,Ruga: High-level settlement for herdsmen shot down by suspicion,https://punchng.com/ruga-high-level-settlement-for-herdsmen-shot-down-by-suspicion/
,,"July 6, 2019",,Aniocha and Oshimili local government areas of Delta State,"Fulani herdsmen have taken over our farmlands; they kill, rape our people – Delta communities’ residents",https://punchng.com/fulani-herdsmen-have-taken-over-our-farmlands-they-kill-rape-our-people-delta-communities-residents/
,,"July 6, 2019","June 28, 2019",Orin-Ekiti in Ekiti State,My husband sacrificed his life for the community –Wife of Ekiti hunter killed by suspected Fulani herdsmen,https://punchng.com/my-husband-sacrificed-his-life-for-the-community-wife-of-ekiti-hunter-killed-by-suspected-fulani-herdsmen/
,,"July 6, 2019",,Issele-Asaba junction on the Asaba-Benin Expressway,Fulani herdsmen block Asaba-Benin expressway in Delta,https://punchng.com/fulani-herdsmen-block-asaba-benin-expressway-in-delta/
,,"July 2, 2019",,Plataeu State,Herdsmen attacks: Reps want N10bn released for Plateau communities’ rehabilitation,https://punchng.com/herdsmen-attacks-reps-want-n10bn-released-for-plateau-communities-rehabilitation/
,,"July 1, 2019",,,"Ruga settlement: No land, we can only exchange grass for herdsmen’s meat – South-East govs",https://punchng.com/no-land-we-can-only-exchange-grass-for-herdsmens-meat-seast-govs/
,,"July 1, 2019",,"Seriki village, Ismail Adasofunjo in Alabata, Odeda Local Government Area of Ogun State.",Attack on Ogun village: Police begin manhunt for killer herdsmen,https://punchng.com/attack-on-ogun-village-police-begin-manhunt-for-killer-herdsmen/
,,"June 30, 2019",,,"Ruga, an attempt to resettle terrorist herdsmen – Middle Belt Forum",https://punchng.com/ruga-an-attempt-to-resettle-terrorist-herdsmen-middle-belt-forum/
,,"June 30, 2019","June 28, 2019",Orin Ekiti in the Ido/Osi Local Government Area of Ekiti State.,Suspected herdsmen kill hunter in Ekiti,https://punchng.com/suspected-herdsmen-kill-hunter-in-ekiti/
,,"June 29, 2019","June 28, 2019",Orin Ekiti in the Ido/Osi Local Government Area of Ekiti State.,Community protest as suspected herdsmen kill hunter in Ekiti,https://punchng.com/community-protest-as-suspected-herdsmen-kill-hunter-in-ekiti/
,,"June 29, 2019","June 27, 2019",Odeda Local Government Area of Ogun state,Suspected herdsmen attack Ogun village over cigarettes,https://punchng.com/suspected-herdsmen-attack-ogun-village-over-cigarettes/
,,"June 28, 2019",,"Ado-Ekiti, Ekiti State","Fayose tackles South West govs on kidnappings, herdsmen menace",https://punchng.com/fayose-tackles-south-west-govs-on-kidnappings-herdsmen-menace/
,,"June 28, 2019",,,"Alaafin, Adams, Adebanjo, Odumakin decry herdsmen attacks in Yorubaland",https://punchng.com/alaafin-adams-adebanjo-odumakin-decry-herdsmen-attacks-in-yorubaland/
,,"June 28, 2019",,Akpa/Otobi community in Otukpo Local Government Area of Benue State,"PANDEF, Benue community, reject Ruga settlements for herdsmen",https://punchng.com/pandef-benue-community-reject-ruga-settlements-for-herdsmen/
,,"June 27, 2019",,,"No land for Ruga herdsmen’s settlements in our zones – Afenifere, Ohanaeze",https://punchng.com/no-land-for-ruga-herdsmens-settlements-in-our-zones-afenifere-ohanaeze/
,,"June 26, 2019","June 25, 2019",Koto-Karfe in Kogi Local Government Area of Kogi State.,Seven killed in attacks by suspected herdsmen in Kogi,https://punchng.com/seven-killed-in-attacks-by-suspected-herdsmen-in-kogi/
,,"June 26, 2019","June 25, 2019",Ovia North-East Local Government Area of Edo State,Youths block Benin-Ore road over woman’s killing by suspected herdsmen,https://punchng.com/youths-block-benin-ore-road-over-womans-killing-by-suspected-herdsmen/
,,"June 26, 2019",,,"South-East govs, Ortom, Ishaku, others reject FG’s Ruga settlements for herdsmen",https://punchng.com/seast-govs-ortom-ishaku-others-reject-fgs-ruga-settlements-for-herdsmen/
,,"June 24, 2019",,,"Despite N757.48bn budget, FG roads still in disrepair, aiding herdsmen’s attacks",https://punchng.com/despite-n757-48bn-budget-fg-roads-still-in-disrepair-aiding-herdsmens-attacks/
,,"June 24, 2019",,Gashish District of the Barkin Ladi Local Government Area of Plateau State,Plateau honours 188 people killed by suspected Fulani herdsmen,https://punchng.com/plateau-honours-188-people-killed-by-suspected-fulani-herdsmen/
,,"June 21, 2019",,,"We’ll kick killer herdsmen out of South-West, says Ooni",https://punchng.com/well-kick-killer-herdsmen-out-of-swest-says-ooni/
,,"June 19, 2019","June 18, 2019","Awka, the Anambra State capital",Moghalu blames herdsmen menace on poor mapping,https://punchng.com/moghalu-blames-herdsmen-menace-on-poor-mapping/
,,"June 18, 2019",,Tudiri and Janibanibu villages in Ardo-kola Local Government Area of Taraba,"Taraba women protest herdsmen killings, harassment of youths",https://punchng.com/taraba-women-protest-herdsmen-killings-harassment-of-youths/
,,"June 18, 2019",,Riyom Council Area of Plateau state,"Soldier, three others killed, houses burnt as suspected herdsmen attack Plateau community.",https://punchng.com/soldier-three-others-killed-houses-burnt-as-suspected-herdsmen-attack-plateau-community/
,,"June 17, 2019",,"Jalingo, Taraba State",Herdsmen allegedly attack village near Jalingo,https://punchng.com/just-in-herdsmen-allegedly-attack-village-near-jalingo/
,,"June 17, 2019","June 14, 2019.",Agbani-Ugbawka road in Nkanu East Local Government Area of Enugu State,"Suspected herdsmen attack commercial bus, abduct three women in Enugu",https://punchng.com/suspected-herdsmen-attack-commercial-bus-abduct-three-women-in-enugu/
,,"June 16, 2019",,Opara Forest Reserve in Oyo State and Imeko Forest Reserve in Ogun State,"Panic as foreign herdsmen take over Oyo, Ogun forest reserves",https://punchng.com/panic-as-foreign-herdsmen-take-over-oyo-ogun-forest-reserves/
,,"June 15, 2019",March 2018 and April 2019.,Akwanga Local Government Area of Nasarawa State,"Herdsmen attacks: 2,000 children out of school in Nasarawa",https://punchng.com/herdsmen-attacks-2000-children-out-of-school-in-nasarawa/
,,"June 13, 2019",,Atakumosa West Local Government Area of Osun State,"Suspected herdsmen attack travellers in Osun, kill LG worker",https://punchng.com/suspected-herdsmen-attack-travellers-in-osun-kill-lg-worker/
,,"June 12, 2019",,Atakumosa West Local Government Area of Osun State,One dead as suspected herdsmen attack passengers on Ife-Ibadan Highway,https://punchng.com/one-dead-as-suspected-herdsmen-attack-passengers-on-ife-ibadan-highway/
,,"June 12, 2019",,Osi  in the Akure North Local Government Area of Ondo state,"Herdsmen attempt to abduct Ondo monarch, police nab one",https://punchng.com/herdsmen-attempt-to-abduct-ondo-monarch-police-nab-one/
,,"June 11, 2019",,Osi town in the Akure North Local Government Area of Ondo State,Police arrest one as herdsmen attempt to kidnap Ondo monarch,https://punchng.com/police-arrest-one-as-herdsmen-attempt-to-kidnap-ondo-monarch/
,,"June 11, 2019",,"Airport Road, Osi, in the Akure North Local Government Area of Ondo State.","Herdsmen abduct woman, stepson in Ondo, demand N10m ransom",https://punchng.com/herdsmen-abduct-woman-stepson-in-ondo-demand-n10m-ransom/
,,"June 10, 2019","June 9, 2019","Airport Road, Osi, in the Akure North Local Government Area of Ondo State.","Herdsmen kidnap woman, stepson in Ondo, demand N10million ransom",https://punchng.com/herdsmen-kidnap-woman-stepson-in-ondo-demand-n10million-ransom/
,," June 9, 2019",,,"Killer herdsmen are on trial run in South ahead of predetermined attack –Ex-deputy VC, Adebooye",https://punchng.com/killer-herdsmen-are-on-trial-run-in-south-ahead-of-predetermined-attack-ex-deputy-vc-adebooye/
