YEAR,PAPER,DATE OF REPORT,DATE OF INCIDENT,LOCATION,HEADLINE,LINK
,,28-Nov-19,28-Nov-19,"Bani, Fulani camp, Kaiama Local Government Area, Kwara",Court remands drunk Fulani herdsman for allegedly killing fellow herder with machete,https://www.vanguardngr.com/2019/11/court-remands-drunk-fulani-herdsman-for-allegedly-killing-fellow-herder-with-machete/
,,"NOVEMBER 27, 2019",,,Imo communities now rely on God after quit notice to herdsmen,https://www.vanguardngr.com/2019/11/imo-communities-now-rely-on-god-after-quit-notice-to-herdsmen/
,,"NOVEMBER 18, 2019",,,Imo Govt. disowns group over ultimatum to herdsmen,https://www.vanguardngr.com/2019/11/imo-govt-disowns-group-over-ultimatum-to-herdsmen/
,,"NOVEMBER 18, 2019",,,"Herdsmen in Imo, gets 24 hours to leave",https://www.vanguardngr.com/2019/11/herdsmen-in-imo-gets-24-hours-to-leave/
,,"OCTOBER 27, 2019",,,Fulani Socio-cultural organization apologises to Benue over herdsmen attacks,https://www.vanguardngr.com/2019/10/fulani-socio-cultural-organization-apologises-to-benue-over-herdsmen-attacks/
,,"OCTOBER 24, 2019",,,"Benue to access N1.7billion, as Ortom inaugurates committee on NHIS",https://www.vanguardngr.com/2019/10/benue-to-access-n1-7billion-as-ortom-inaugurates-committee-on-nhis/
,,"OCTOBER 22, 2019",,,Remain in your country – M-Belt Forum tells foreign herdsmen,https://www.vanguardngr.com/2019/10/remain-in-your-country-m-belt-forum-tells-foreign-herdsmen/
,,"OCTOBER 22, 2019",,,Ortom’s call for border closure against foreign herdsmen commendable ― MURIC,https://www.vanguardngr.com/2019/10/ortoms-call-for-border-closure-against-foreign-herdsmen-commendable-%e2%80%95-muric/
,,"OCTOBER 21, 2019",,,Ortom to FG: Close Nigerian borders against foreign herdsmen,https://www.vanguardngr.com/2019/10/ortom-to-fg-close-nigerian-borders-against-foreign-herdsmen/
,,"OCTOBER 17, 2019","OCTOBER 15, 2019",Amakohi-ubi community in Owerri west local government area of Imo state,Herdsmen: South East youths angry over Imo hunter attack ,https://www.vanguardngr.com/2019/10/herdsmen-south-east-youths-angry-over-imo-hunter-attack/
,,"OCTOBER 16, 2019","OCTOBER 15, 2019",Amakohi-ubi community in Owerri west local government area of Imo state,Alleged herdsmen attack hunter in Imo,https://www.vanguardngr.com/2019/10/alleged-herdsmen-attack-hunter-in-imo/
,,"OCTOBER 15, 2019","OCTOBER 15, 2019",Amakohi-ubi community in Owerri west local government area of Imo state,Tension as suspected herdsmen attack hunter in Imo ,https://www.vanguardngr.com/2019/10/tension-as-suspected-herdsmen-attack-hunter-in-imo/
,,"OCTOBER 15, 2019","OCTOBER 12, 2019",Gboogyo village in Guma local government area of Benue state.,"Suspected herdsmen attack Benue woman in her farm, chop off arm",https://www.vanguardngr.com/2019/10/suspected-herdsmen-attack-benue-woman-in-her-farm-chop-off-arm-2/
,,"OCTOBER 13, 2019",,,Foreign herdsmen in NLTP: 5 Northern state governments disagree,https://www.vanguardngr.com/2019/10/foreign-herdsmen-in-nltp-5-northern-state-governments-disagree/
,,"OCTOBER 12, 2019","October 17, 2018","Ariri community, in Bassa   Local Government Area of Plateau State","How Fulani herdsmen killed my father, raped my sister – Victim",https://www.vanguardngr.com/2019/10/how-fulani-herdsmen-killed-my-father-raped-my-sister-victim/
,,"OCTOBER 6, 2019","OCTOBER 4, 2019","Nkek village, Ukanafun local government area of Akwa Ibom State",Tension as herdsmen kill farmer in Akwa Ibom,https://www.vanguardngr.com/2019/10/tension-as-herdsmen-kill-farmer-in-akwa-ibom/
,,"OCTOBER 6, 2019",,,"‘Obiano didn’t tell Fulanis to pay N500,000 for killing any person’",https://www.vanguardngr.com/2019/10/obiano-didnt-tell-fulanis-to-pay-n-5m-for-killing-any-person/
,,"OCTOBER 6, 2019",,,Five pilot states say no to foreign herdsmen,https://www.vanguardngr.com/2019/10/five-pilot-states-say-no-to-foreign-herdsmen/
,,"SEPTEMBER 20, 2019",,,CBN to support nomadic herdsmen livestock production,https://www.vanguardngr.com/2019/09/cbn-to-support-nomadic-herdsmen-livestock-production/
,,"SEPTEMBER 19, 2019",,Uvwiamughe community in Ughelli North local government area of Delta State.,Police Inspector killed during shootout with herdsmen in Delta,https://www.vanguardngr.com/2019/09/police-inspector-killed-during-shootout-with-herdsmen-in-delta/
,,"SEPTEMBER 18, 2019",,,"Herdsmen in Igboland: ASETU, World Igbo Congress to end killings ",https://www.vanguardngr.com/2019/09/herdsmen-in-igboland-asetu-world-igbo-congress-to-end-killings/
,,"SEPTEMBER 14, 2019",,,Over 60 security personnel died fighting herdsmen crisis in Benue – Ortom,https://www.vanguardngr.com/2019/09/over-60-security-personnel-died-fighting-herdsmen-crisis-in-benue-ortom/
,,"SEPTEMBER 13, 2019",,,"We’re committed to tackling farmers, herdsmen crises – NSCDC",https://www.vanguardngr.com/2019/09/were-committed-to-tackling-farmers-herdsmen-crises-nscdc/
,,"SEPTEMBER 11, 2019",,,"Placard carriers at NLTP Launch laud scheme, oppose mobile husbandry",https://www.vanguardngr.com/2019/09/placard-carriers-at-nltp-launch-laud-scheme-oppose-mobile-husbandry/
,,"SEPTEMBER 10, 2019",,"Federal University of Technology, Owerri, FUTO","Breaking: Cows, herdsmen invade FUTO",https://www.vanguardngr.com/2019/09/breaking-cows-herdsmen-invade-futo/
,,"SEPTEMBER 1, 2019",,"Arewa community in Uvwie local government area of Delta State,","Herdsmen from Chad, Mali, Niger behind kidnap of Delta lawyer, 5 others – Arewa community",https://www.vanguardngr.com/2019/09/herdsmen-from-chad-mali-niger-behind-kidnap-of-delta-lawyer-5-others-arewa-community/
,,"AUGUST 31, 2019",,,"Breaking: South East Govs ban herdsmen, cattle movement among communities",https://www.vanguardngr.com/2019/08/breaking-south-east-govs-ban-herdsmen-cattle-movement-among-communities-2/
,,"AUGUST 24, 2019",,,Rejecting ethnic profiling against Fulanis in Enugu by social media,https://www.vanguardngr.com/2019/08/rejecting-ethnic-profiling-against-fulanis-in-enugu-by-social-media/
,,"AUGUST 24, 2019",,"Enugu suburb, Nchatacha-Nike in Enugu East local government area of Enugu state.","Suspected herdsmen rape, kill 67 yrs old woman in Enugu",https://www.vanguardngr.com/2019/08/suspected-herdsmen-rape-kill-67-yrs-old-woman-in-enugu/
,,"AUGUST 22, 2019",,,"INSECURITY: Arrest herdsmen grazing along Akure Airport, Miyetti Allah tells Ondo Police",https://www.vanguardngr.com/2019/08/insecurity-arrest-herdsmen-grazing-along-akure-airport-miyetti-allah-tells-ondo-police/
,,"AUGUST 21, 2019",,,Delta govt to rid communities of criminal herdsmen,https://www.vanguardngr.com/2019/08/delta-govt-to-rid-communities-of-criminal-herdsmen/
,,"AUGUST 20, 2019",,,Criminal herdsmen: South-East states raise forest guards,https://www.vanguardngr.com/2019/08/criminal-herdsmen-south-east-states-raise-forest-guards/
,,"AUGUST 19, 2019",,,Obiano warns herdsmen against entering Anambra with AK-47,https://www.vanguardngr.com/2019/08/obiano-warns-herdsmen-against-entering-anambra-with-ak-47/
,,"AUGUST 19, 2019",,,"Breaking: Shoot both herdsmen, farmers dead if….- Chadian President orders army",https://www.vanguardngr.com/2019/08/breaking-shoot-both-herdsmen-farmers-dead-if-chadian-president-orders-army-2/
,,"AUGUST 19, 2019",,,"Curb herdsmen menace now, Okowa tells FG",https://www.vanguardngr.com/2019/08/curb-herdsmen-menace-now-okowa-tells-fg/
,,"AUGUST 17, 2019",,,"Ogun Govt. meets with farmers, herdsmen to foster peace",https://www.vanguardngr.com/2019/08/ogun-govt-meets-with-farmers-herdsmen-to-foster-peace/
,,"AUGUST 17, 2019",,,"Fulanis back Ooni, Alaafin to flush out criminal herdsmen",https://www.vanguardngr.com/2019/08/fulanis-back-ooni-alaafin-to-flush-out-criminal-herdsmen/
,,"AUGUST 16, 2019",,,It’s a shame FG’s tolerating killer herdsmen — Fani-Kayode,https://www.vanguardngr.com/2019/08/its-a-shame-fgs-tolerating-killer-herdsmen-fani-kayode-2/
,,"AUGUST 16, 2019",,,"Fulanis back Ooni, Alaafin to flush out criminal herdsmen",https://www.vanguardngr.com/2019/08/fulanis-back-ooni-alaafin-to-flush-out-criminal-herdsmen-2/
,,"AUGUST 16, 2019",,,"Enugu killing: Rep hails Gov. Ugwuanyi’s initiatives, meetings with Miyetti Allah, Others",https://www.vanguardngr.com/2019/08/enugu-killing-rep-hails-gov-ugwuanyis-initiatives-meetings-with-miyetti-allah-others/
,,"AUGUST 14, 2019",,,No herdsmen attack at our motor park – Kogi Govt.,https://www.vanguardngr.com/2019/08/no-herdsmen-attack-at-our-motor-park-kogi-govt/
,,"AUGUST 14, 2019",,Big Joe motor park in Lokoja,No herdsmen attack at motor park – Kogi govt,https://www.vanguardngr.com/2019/08/no-herdsmen-attack-at-motor-park-kogi-govt/
,,"AUGUST 14, 2019",,,Igbo governors ’ve secretly donated land for RUGA — IPOB,https://www.vanguardngr.com/2019/08/igbo-governors-ve-secretly-donated-land-for-ruga-ipob/
